AREA,ID,LAYER,RMTYPE,SUBTYPE,WEIGHT,ALTERATIONS,CRACKS,POTLIDS,REDDENING,GLOSS,WHITEPATINA,PATINA,OTHER,CORTEX,CORTEXTHICKNESS,CORTEXAPPEARANCE,INCLUSIONS,INCLUSIONTYPE
SHELTER,VB07-1135,,Type 2,Type 2,1.8,Yes,No,No,No,No,No,Yes,No,No,,,Yes,FeOx; ND
SHELTER,VB06-1346,,Type 2,Type 2,8.7,No,,,,,,,,Yes,Medium,Rounded,Yes,FeOx; ND
SHELTER,VB06-1150,,Type 2,Type 2,1.1,No,,,,,,,,Yes,Thick,Rounded,Yes,FeOx
SHELTER,VB06-1316,,Type 2,Type 2,1.5,Yes,No,No,No,No,No,Yes,No,No,,,No,FeOx
SHELTER,VB06-1217,,Type 2,Type 2,0.6,Yes,No,No,No,No,No,No,Yes,No,,,No,FeOx
SHELTER,VB06-1392,,Type 2,Type 2,0.6,No,,,,,,,,No,,,Yes,FeOx; ND
SHELTER,VB08-4440,,Type 2,Type 2,1.2,Yes,No,No,No,No,No,Yes,Yes,Yes,Medium,Outcrop,Yes,FeOx; ND
SHELTER,VB08-5644,,Type 2,Type 2,12.7,Yes,No,No,No,No,Yes,Yes,No,Yes,Medium,Outcrop,Yes,FeOx; ND
SHELTER,VB07-1283,,Type 2,Type 2,0.1,No,,,,,,,,No,,,Yes,FeOx; ND
SHELTER,VB08-287,,Type 2,Type 2,0.7,No,,,,,,,,No,,,Yes,FeOx; ND
