Baseline,Background,SiO2,Dolomite,Observed,Difference
26.2136,590.61,1722.24,591.74,1673,-50.37
26.2637,590.28,2034.04,591.43,1902,-133.18
26.3139,589.94,2501.67,591.1,2199,-303.83
26.364,589.59,3241.87,590.77,2793,-450.05
26.4141,589.24,4510.14,590.44,3869,-642.34
26.4643,588.88,6893.5,590.1,6018,-876.73
26.5144,588.52,11770.48,589.77,11366,-405.72
26.5646,588.15,23160.02,589.42,23991,829.72
26.6147,587.78,47266.57,589.07,48257,989.15
26.6648,587.4,52447.51,588.72,55637,3188.18
26.715,587.01,37550.39,588.35,38418,866.27
26.7651,586.62,18481.67,587.99,17996,-487.05
26.8152,586.22,9278.13,587.62,8185,-1094.53
26.8654,585.82,5574.03,587.25,4674,-901.46
26.9155,585.41,3808.51,586.87,3131,-678.97
26.9657,585,2838.14,586.5,2361,-478.63
27.0158,584.58,2248.61,586.11,1941,-309.14
27.0659,584.16,1863.7,585.73,1653,-212.26
27.1161,583.73,1598.46,585.33,1455,-145.06
27.1662,583.29,1408.74,584.93,1288,-122.39
27.2163,582.85,1266.92,584.53,1171,-97.6
27.2665,582.41,1158.63,584.14,1220,59.65
27.3166,581.96,1074.03,583.73,1105,29.2
27.3668,581.5,1006.66,583.32,1075,66.52
27.4169,581.04,952.1,582.91,1005,51.04
27.467,580.58,907.28,582.5,947,37.81
27.5172,580.11,869.99,582.08,940,68.05
27.5673,579.63,838.6,581.66,926,85.37
27.6174,579.15,811.93,581.26,919,104.96
27.6676,578.67,789.06,580.96,903,111.66
27.7177,578.18,769.28,580.85,809,37.05
27.7678,577.68,752.04,581.21,824,68.42
27.818,577.18,736.93,582.37,814,71.88
27.8681,576.68,723.59,583.28,782,51.82
27.9183,576.17,711.74,582.18,791,73.25
27.9684,575.66,701.17,580.54,810,103.96
28.0185,575.14,691.67,579.3,807,111.16
28.0687,574.62,683.16,578.4,798,111.06
28.1188,574.09,675.41,577.66,742,63.02
28.1689,573.56,668.36,577.03,759,87.17
28.2191,573.02,661.92,576.46,758,92.64
28.2692,572.48,656.02,575.93,697,37.53
28.3194,571.94,650.61,575.43,761,106.91
28.3695,571.39,645.6,574.94,682,32.85
28.4196,570.83,640.96,574.46,743,98.41
28.4698,570.28,636.66,574.01,687,46.61
28.5199,569.72,632.66,573.56,736,99.5
28.57,569.15,628.91,573.12,665,32.12
28.6202,568.58,625.41,572.69,751,121.48
28.6703,568.01,622.12,572.27,716,89.62
28.7205,567.43,619.02,571.86,671,47.55
28.7706,566.85,616.1,571.47,728,107.28
28.8207,566.27,613.34,571.09,659,40.84
28.8709,565.68,610.72,570.72,658,42.25
28.921,565.08,608.23,570.35,722,108.5
28.9711,564.49,605.88,570.02,727,115.6
29.0213,563.89,603.62,569.69,748,138.57
29.0714,563.29,601.47,569.39,792,184.43
29.1216,562.68,599.41,569.11,764,158.16
29.1717,562.07,597.43,568.86,728,123.78
29.2218,561.45,595.53,568.63,677,74.28
29.272,560.84,593.71,568.45,645,43.68
29.3221,560.22,591.96,568.3,612,11.97
29.3722,559.59,590.26,568.18,710,111.15
29.4224,558.97,588.63,568.13,671,73.21
29.4725,558.34,587.05,568.13,737,140.17
29.5226,557.7,585.51,568.19,729,133
29.5728,557.07,584.03,568.33,662,66.71
29.6229,556.43,582.59,568.56,673,78.28
29.6731,555.79,581.18,568.9,659,64.71
29.7232,555.14,579.81,569.35,618,23.97
29.7733,554.49,578.48,569.95,647,53.06
29.8235,553.84,577.18,570.72,645,50.93
29.8736,553.19,575.91,571.71,678,83.58
29.9237,552.53,574.66,572.93,688,92.94
29.9739,551.87,573.44,574.45,637,40.98
30.024,551.21,572.23,576.36,623,25.61
30.0742,550.55,571.05,578.76,633,33.74
30.1243,549.88,569.87,581.75,610,8.26
30.1744,549.21,568.71,585.46,624,19.03
30.2246,548.54,567.56,590.11,594,-15.13
30.2747,547.87,566.41,596.05,673,58.42
30.3248,547.19,565.26,603.7,642,20.22
30.375,546.51,564.13,613.75,625,-6.38
30.4251,545.83,563.02,627.16,663,18.64
30.4753,545.15,561.93,645.5,635,-27.29
30.5254,544.47,560.86,671.3,723,35.31
30.5755,543.78,559.8,708.86,709,-15.88
