Site,Level,Area,LOT,UNIT,ID,RawMaterial,QuartzQuality,Class,CorePreparProd,RetouchedPieceBlank,PieceCompleteness,Cortex,CortexLocation,CortexType,PlatformType,PlatformCortex,Lipping,BlankShape,CrossSection,BlankTip,Profile,ScarCount,ScarPattern,Thickness,MaxWidth,ProxWidth,MedWidth,DistWidth,Length,PlatformThickness,PlatformWidth,ExteriorPlatformAngle,Weight,CoreType,CoreCrossSection,NumberCoreFaces,CorePlatform,CoreDistalTreatment,CoreLeftTreatment,CoreRightTreatment,CoreBackTreatment,MainFaceCortex,MainFaceScarCount,MainFaceScarDirection,MainFaceArisOrientation,MainFaceScarLength,MainFaceScarMaxWidth,MainFaceScarProxWidth,MainFaceScarMedWidth,MainFaceScarDistWidth,MainFacePlatformAngle,MainFaceCoreUse,DistalFaceCortex,DistalFaceScarCount,DistalFaceScarDirection,DistalFaceArisOrientation,DistalFaceCoreUse,LeftFaceCortex,LeftFaceScarCount,LeftFaceScarDirection,LeftFaceArisOrientation,LeftFaceCoreUse,RightFaceCortex,RightFaceScarCount,RightFaceScarDirection,RightFaceArisOrientation,RightFaceCoreUse,BackFaceCortex,BackFaceScarCount,BackFaceScarDirection,BackFaceArisOrientation,BackFaceCoreUse,CoreAbandon,Alteration,Fire,EdgeDamage,RetouchedPieceTypology,ChipQuantity,OtherNotes
VB,,T,LOT-321,I18,3021,Quartz,Medium,Blank,,,,0%,,,Plain,No,No,Irregular,Irregular,Feather,Straight,1,Unidirectional,11.75,22.18,21.81,22.58,15.4,21.61,8.34,17.22,126.7,7.5,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,No,,0,
VB,,T,LOT-321,I18,3042,Chert,,Core,,,,1-30%,,Indeterminate,,YesPartial,No,,,,,0,,19.91,31,28.77,28.35,19.28,42.59,18.84,26.42,144.8,28.9,SinglePlat,Quadrangular,One,Plain,Cortical,Cortical,FlakingSurface,FlakingSurface,1-30%,2,,,39.16,22.24,18.63,22.25,13.13,108.4,Flakes,,0,,,,,0,,,,0%,2,Unidirectional,Indeterminate,Flakes,0%,1,,,Flakes,NoReason,None,,,,0,
VB,,T,LOT-257,I18,2680,Chert,,Blank,,,,31-60%,RightLateral,Indeterminate,Plain,No,No,Parallel,Trapezoidal,Hinge,Curved,3,Bidirectional,5.07,16.88,12.84,13.91,10.77,55.79,3.18,9.22,84.8,6.8,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,Yes,,0,
VB,,T,LOT-257,I18,3242,Chert,,Blank,,,,0%,,,Dihedral,No,Yes,Irregular,Irregular,Feather,Curved,2,Bidirectional,6.91,24.26,18.03,22.9,8.31,30.04,4.67,13.93,77,4,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,No,,0,
VB,,T,LOT-95,J18,138,Quartz,Medium,Blank,,,,0%,,,Winged,No,No,Convergent,Irregular,Step,Straight,3,Unidirectional,12.96,17.82,10.19,14.21,10.38,36.78,2.98,9.18,107,8.2,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,No,,0,
VB,,T,LOT-95,J18,42,Quartz,Medium,RetouchedPiece,,Blank,,0%,,,Crushed,No,No,Irregular,Irregular,Feather,Straight,3,Unidirectional,13.33,40.74,6.31,39.73,12.18,30.58,6.37,7.51,0,14.7,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,No,Retouched flake,0,
VB,,T,LOT-95,J18,792,Quartz,Fine,Blank,,,,0%,,,Crushed,No,No,Irregular,Triangular,Feather,Straight,4,Unidirectional,7.55,21.72,16.92,17.21,11.21,16.63,6.69,8.5,86.1,2.4,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
VB,,T,LOT-95,J18,786,Chert,,Blank,,,,1-30%,LeftLateral,Indeterminate,Plain,No,Yes,Irregular,Irregular,Feather,Straight,4,Unidirectional,8.95,23.55,14.29,17.73,16.74,37.03,3.52,7.25,68.8,7.7,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,Yes,,0,
VB,,T,LOT-95,J18,152,Quartz,Fine,Blank,,,,1-30%,RightLateral,Cobble,Punctiform,No,No,Parallel,Triangular,Feather,Straight,2,Unidirectional,5.76,10.01,2.69,9.78,8.29,26.45,3.04,2.71,92.2,1.5,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,Yes,,0,
VB,,T,LOT-95,J18,813,Quartz,Medium,Blank,,,,0%,,,Plain,No,No,Convergent,Irregular,Feather,Straight,3,Unidirectional,9.25,23.84,19.17,23.97,8.02,23.82,8.83,12.76,98.6,5.8,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
