Angle,Observed,Calculated,Background,Dolomite_nb,Quartz_nb,Dolomite,Quartz
24.6092,627,737.74,662.94,0.6,74.19,663.54,737.13
24.6593,671,740.31,662.8,0.52,76.99,663.32,739.79
24.7095,708,743.25,662.64,0.46,80.15,663.1,742.79
24.7596,667,746.57,662.48,0.41,83.68,662.89,746.16
24.8098,655,750.27,662.31,0.37,87.6,662.68,749.91
24.8599,686,754.39,662.13,0.34,91.93,662.47,754.06
24.91,667,758.95,661.94,0.31,96.7,662.25,758.64
24.9602,665,763.99,661.74,0.29,101.96,662.03,763.7
25.0103,707,769.56,661.53,0.27,107.76,661.8,769.29
25.0604,697,775.72,661.31,0.26,114.15,661.57,775.46
25.1106,754,782.54,661.09,0.25,121.21,661.34,782.3
25.1607,678,790.12,660.86,0.24,129.02,661.1,789.88
25.2109,659,798.54,660.61,0.23,137.7,660.84,798.31
25.261,726,807.93,660.36,0.22,147.35,660.58,807.71
25.3111,759,818.43,660.1,0.21,158.12,660.31,818.22
25.3613,750,830.23,659.83,0.21,170.19,660.04,830.02
25.4114,768,843.42,659.56,0.2,183.65,659.76,843.21
25.4615,846,858.45,659.27,0.2,198.98,659.47,858.25
25.5117,854,875.55,658.98,0.2,216.38,659.18,875.36
25.5618,870,895.11,658.68,0.19,236.24,658.87,894.92
25.612,952,917.6,658.37,0.19,259.04,658.56,917.41
25.6621,1017,943.63,658.05,0.19,285.4,658.24,943.45
25.7122,1281,973.98,657.72,0.19,316.07,657.91,973.79
25.7624,1401,1009.64,657.38,0.19,352.07,657.57,1009.45
25.8125,1399,1051.91,657.04,0.19,394.68,657.23,1051.72
25.8626,1428,1102.52,656.69,0.19,445.64,656.88,1102.33
25.9128,1454,1163.79,656.33,0.19,507.28,656.52,1163.61
25.9629,1472,1238.92,655.96,0.19,582.77,656.15,1238.73
26.013,1480,1332.41,655.58,0.19,676.64,655.77,1332.22
26.0632,1558,1450.73,655.2,0.19,795.35,655.39,1450.55
26.1133,1675,1603.49,654.8,0.19,948.5,654.99,1603.3
26.1635,1764,1805.45,654.4,0.19,1150.85,654.59,1805.25
26.2136,2023,2080.14,653.99,0.19,1425.95,654.18,2079.94
26.2637,2267,2463.08,653.58,0.2,1809.31,653.78,2462.89
26.3139,2849,3030.24,653.15,0.2,2376.89,653.35,3030.04
26.364,3629,3911.21,652.72,0.2,3258.29,652.92,3911.01
26.4141,4940,5376.31,652.28,0.2,4723.83,652.48,5376.11
26.4643,7728,8007.14,651.83,0.2,7355.11,652.03,8006.94
26.5144,13144,13085.14,651.37,0.21,12433.56,651.58,13084.93
26.5646,24731,23661.64,650.91,0.21,23010.52,651.12,23661.43
26.6147,43586,42412.49,650.44,0.21,41761.84,650.65,42412.28
26.6648,51690,49222.97,649.96,0.22,48572.79,650.18,49222.75
26.715,39572,37713.51,649.47,0.22,37063.82,649.69,37713.29
26.7651,21825,21505.45,648.98,0.22,20856.24,649.2,21505.22
26.8152,10825,11635.73,648.48,0.23,10987.02,648.71,11635.5
26.8654,6442,7114,647.97,0.23,6465.8,648.2,7113.77
26.9155,4027,4860.85,647.46,0.24,4213.16,647.7,4860.62
26.9657,2986,3601.34,646.94,0.24,2954.16,647.18,3601.1
27.0158,2368,2830.58,646.41,0.25,2183.93,646.66,2830.34
27.0659,2004,2325.67,645.87,0.25,1679.55,646.12,2325.42
27.1161,1780,1977.23,645.33,0.26,1331.64,645.59,1976.97
27.1662,1630,1727.87,644.78,0.26,1082.83,645.04,1727.61
27.2163,1455,1541.42,644.22,0.27,896.94,644.49,1541.16
27.2665,1339,1399.09,643.66,0.27,755.16,643.93,1398.82
27.3166,1247,1287.94,643.08,0.28,644.57,643.36,1287.65
27.3668,1150,1199.45,642.51,0.29,556.65,642.8,1199.16
27.4169,1156,1127.82,641.92,0.29,485.6,642.21,1127.52
27.467,1127,1069.01,641.33,0.3,427.37,641.63,1068.7
27.5172,1088,1020.09,640.74,0.31,379.05,641.05,1019.79
27.5673,1059,978.96,640.13,0.32,338.51,640.45,978.64
27.6174,1010,944.02,639.52,0.33,304.17,639.85,943.69
27.6676,974,914.06,638.91,0.34,274.82,639.25,913.73
27.7177,1063,888.19,638.28,0.36,249.54,638.64,887.82
27.7678,958,865.7,637.66,0.42,227.62,638.08,865.28
27.818,906,846.09,637.02,0.59,208.47,637.61,845.49
27.8681,890,829.15,636.38,1.11,191.67,637.49,828.05
27.9183,873,814.46,635.73,1.9,176.83,637.63,812.56
27.9684,869,800.22,635.08,1.48,163.66,636.56,798.74
28.0185,853,787.29,634.42,0.95,151.92,635.37,786.34
28.0687,905,775.96,633.76,0.72,141.48,634.48,775.24
28.1188,916,765.75,633.09,0.63,132.03,633.72,765.12
28.1689,836,756.5,632.42,0.58,123.51,633,755.93
28.2191,846,748.09,631.73,0.56,115.8,632.29,747.53
28.2692,781,740.39,631.05,0.55,108.8,631.6,739.85
28.3194,829,733.33,630.36,0.55,102.42,630.91,732.78
28.3695,847,726.81,629.66,0.55,96.6,630.21,726.26
28.4196,804,720.79,628.96,0.56,91.27,629.52,720.23
28.4698,792,715.2,628.25,0.57,86.38,628.82,714.63
28.5199,816,710.01,627.54,0.59,81.88,628.13,709.42
28.57,839,705.16,626.82,0.6,77.73,627.42,704.55
28.6202,824,700.62,626.1,0.62,73.9,626.72,700
28.6703,746,696.37,625.37,0.64,70.36,626.01,695.73
28.7205,820,692.37,624.64,0.67,67.07,625.31,691.71
28.7706,802,688.6,623.9,0.69,64.01,624.59,687.91
28.8207,778,685.04,623.16,0.72,61.17,623.88,684.33
28.8709,772,681.68,622.41,0.75,58.52,623.16,680.93
28.921,820,678.49,621.66,0.78,56.05,622.44,677.71
28.9711,785,675.47,620.9,0.82,53.75,621.72,674.65
29.0213,822,672.59,620.14,0.86,51.59,621,671.73
29.0714,862,669.84,619.38,0.9,49.56,620.28,668.94
29.1216,824,667.22,618.61,0.94,47.66,619.55,666.27
29.1717,802,664.71,617.84,0.99,45.88,618.83,663.72
29.2218,751,662.31,617.06,1.05,44.2,618.11,661.26
29.272,784,660.01,616.28,1.11,42.62,617.39,658.9
29.3221,796,657.8,615.5,1.17,41.14,616.67,656.64
29.3722,720,655.69,614.71,1.24,39.74,615.95,654.45
29.4224,728,653.65,613.91,1.32,38.42,615.23,652.33
29.4725,752,651.69,613.12,1.41,37.17,614.53,650.29
29.5226,732,649.81,612.32,1.5,35.99,613.82,648.31
29.5728,757,648,611.51,1.61,34.88,613.12,646.39
29.6229,769,646.25,610.7,1.72,33.82,612.42,644.52
