Angle,Observed,Calculated,Background,Quartz_nb,Quartz
26.5144,12751,13192.4,573.61,12618.79,13192.4
26.5646,25178,24306.12,573.22,23732.9,24306.12
26.6147,47760,46356.94,572.83,45784.11,46356.94
26.6648,60232,57177.83,572.43,56605.4,57177.83
26.715,46094,44221.86,572.02,43649.83,44221.85
26.7651,25491,24794.19,571.61,24222.58,24794.19
26.8152,12031,12847.22,571.2,12276.02,12847.22
26.8654,6360,7622.82,570.78,7052.04,7622.82
26.9155,4135,5102.34,570.35,4531.98,5102.33
26.9657,3054,3720.35,569.92,3150.42,3720.34
27.0158,2249,2885,569.49,2315.51,2885
27.0659,1879,2342.39,569.05,1773.34,2342.39
27.1161,1648,1970.24,568.6,1401.63,1970.23
27.1662,1458,1705.15,568.15,1136.99,1705.14
27.2163,1363,1507.69,567.7,939.99,1507.69
27.2665,1206,1357.41,567.24,790.17,1357.41
27.3166,1228,1240.35,566.77,673.57,1240.34
27.3668,1130,1147.37,566.31,581.06,1147.37
27.4169,1146,1072.26,565.83,506.43,1072.26
27.467,964,1010.7,565.35,445.34,1010.69
27.5172,1012,959.58,564.87,394.71,959.58
27.5673,925,916.67,564.38,352.28,916.66
27.6174,870,880.26,563.89,316.37,880.26
27.6676,899,849.1,563.39,285.71,849.1
27.7177,929,822.22,562.89,259.32,822.21
27.7678,852,798.84,562.38,236.45,798.83
27.818,849,778.37,561.87,216.49,778.36
27.8681,791,760.34,561.36,198.98,760.34
27.9183,829,744.36,560.84,183.52,744.36
27.9684,835,730.13,560.32,169.82,730.14
28.0185,814,717.39,559.79,157.6,717.39
28.0687,783,705.99,559.26,146.74,706
28.1188,800,695.64,558.72,136.91,695.63
28.1689,768,686.24,558.18,128.06,686.24
28.2191,800,677.68,557.64,120.04,677.68
28.2692,776,669.86,557.09,112.77,669.86
28.3194,734,662.69,556.54,106.15,662.69
28.3695,767,656.09,555.98,100.11,656.09
28.4196,768,650,555.43,94.58,650.01
28.4698,783,644.36,554.86,89.5,644.36
28.5199,682,639.13,554.3,84.83,639.13
28.57,719,634.25,553.73,80.53,634.26
28.6202,723,629.7,553.15,76.55,629.7
28.6703,660,625.45,552.57,72.87,625.44
28.7205,718,621.46,551.99,69.46,621.45
28.7706,689,617.71,551.41,66.3,617.71
28.8207,692,614.17,550.82,63.35,614.17
28.8709,730,610.83,550.23,60.61,610.84
28.921,721,607.68,549.63,58.04,607.67
28.9711,770,604.7,549.04,55.67,604.71
29.0213,781,601.86,548.44,53.43,601.87
29.0714,777,599.16,547.83,51.33,599.16
29.1216,778,596.58,547.22,49.36,596.58
29.1717,690,594.13,546.61,47.51,594.12
29.2218,635,591.78,546,45.78,591.78
29.272,634,589.53,545.38,44.15,589.53
29.3221,684,587.37,544.76,42.61,587.37
29.3722,623,585.3,544.14,41.16,585.3
29.4224,645,583.31,543.52,39.8,583.32
29.4725,615,581.4,542.89,38.51,581.4
29.5226,645,579.55,542.26,37.29,579.55
29.5728,645,577.77,541.62,36.14,577.76
29.6229,608,576.04,540.99,35.05,576.04
29.6731,597,574.37,540.35,34.02,574.37
29.7232,649,572.75,539.71,33.04,572.75
29.7733,603,571.18,539.06,32.12,571.18
29.8235,556,569.65,538.42,31.24,569.66
29.8736,562,568.17,537.77,30.4,568.17
29.9237,605,566.72,537.12,29.6,566.72
29.9739,629,565.3,536.47,28.84,565.31
30.024,581,563.91,535.81,28.1,563.91
30.0742,594,562.55,535.15,27.4,562.55
30.1243,571,561.21,534.49,26.72,561.21
30.1744,603,559.89,533.83,26.05,559.88
30.2246,565,558.58,533.17,25.41,558.58
30.2747,589,557.27,532.5,24.77,557.27
30.3248,588,555.98,531.84,24.15,555.99
30.375,573,554.72,531.17,23.55,554.72
30.4251,556,553.47,530.49,22.98,553.47
30.4753,542,552.25,529.82,22.43,552.25
30.5254,614,551.05,529.15,21.91,551.06
30.5755,509,549.87,528.47,21.4,549.87
30.6257,574,548.71,527.79,20.92,548.71
30.6758,573,547.57,527.11,20.46,547.57
30.7259,533,546.45,526.43,20.02,546.45
30.7761,576,545.34,525.75,19.59,545.34
30.8262,541,544.25,525.06,19.18,544.24
30.8764,569,543.17,524.38,18.79,543.17
30.9265,555,542.1,523.69,18.42,542.11
30.9766,567,541.06,523,18.06,541.06
31.0268,580,540.02,522.31,17.71,540.02
31.0769,522,538.99,521.62,17.37,538.99
31.127,591,537.98,520.93,17.05,537.98
