Angle,Observed,Calculated,Background,Calcite_nb,SiO2_nb,Calcite,SiO2
32.5309,462,490.04,475.99,4.86,9.18,480.85,485.17
32.581,472,489.03,475.37,4.55,9.11,479.92,484.48
32.6312,455,488.11,474.74,4.31,9.05,479.05,483.79
32.6813,450,487.29,474.12,4.13,9.04,478.25,483.16
32.7314,481,486.6,473.5,3.98,9.12,477.48,482.62
32.7816,475,486.11,472.88,3.86,9.37,476.74,482.25
32.8317,451,486.05,472.26,3.75,10.04,476.01,482.3
32.8818,450,486.71,471.64,3.65,11.42,475.29,483.06
32.932,464,487.41,471.03,3.56,12.82,474.59,483.85
32.9821,480,486.32,470.41,3.48,12.43,473.89,482.84
33.0322,470,484.41,469.8,3.41,11.2,473.21,481
33.0824,458,482.83,469.19,3.34,10.31,472.53,479.5
33.1325,462,481.62,468.58,3.27,9.76,471.85,478.34
33.1827,478,480.61,467.97,3.22,9.42,471.19,477.39
33.2328,425,479.73,467.37,3.16,9.2,470.53,476.57
33.2829,483,478.92,466.76,3.11,9.05,469.87,475.81
33.3331,392,478.17,466.16,3.07,8.94,469.23,475.1
33.3832,486,477.44,465.56,3.02,8.86,468.58,474.42
33.4333,441,476.75,464.95,2.99,8.81,467.94,473.76
33.4835,437,476.08,464.36,2.95,8.77,467.31,473.13
33.5336,429,475.43,463.76,2.92,8.75,466.68,472.51
33.5838,429,474.8,463.16,2.89,8.74,466.05,471.9
33.6339,444,474.18,462.57,2.86,8.75,465.43,471.32
33.684,449,473.58,461.98,2.84,8.76,464.82,470.74
33.7342,457,472.99,461.39,2.82,8.78,464.21,470.17
33.7843,441,472.42,460.8,2.81,8.81,463.61,469.61
33.8344,407,471.86,460.21,2.8,8.85,463.01,469.06
33.8846,439,471.32,459.63,2.79,8.9,462.42,468.53
33.9347,447,470.8,459.05,2.79,8.96,461.84,468.01
33.9849,450,470.29,458.47,2.79,9.03,461.26,467.5
34.035,406,469.79,457.89,2.79,9.11,460.68,467
34.0851,452,469.31,457.31,2.81,9.2,460.12,466.51
34.1353,425,468.85,456.73,2.82,9.3,459.55,466.03
34.1854,438,468.41,456.16,2.84,9.41,459,465.57
34.2355,438,467.99,455.59,2.87,9.54,458.46,465.13
34.2857,437,467.59,455.02,2.9,9.67,457.92,464.69
34.3358,437,467.21,454.45,2.94,9.82,457.39,464.27
34.386,443,466.85,453.88,2.98,9.99,456.86,463.87
34.4361,408,466.52,453.32,3.04,10.17,456.36,463.49
34.4862,401,466.22,452.75,3.1,10.37,455.85,463.12
34.5364,431,465.95,452.19,3.17,10.58,455.36,462.77
34.5865,412,465.71,451.63,3.26,10.82,454.89,462.45
34.6366,422,465.51,451.08,3.35,11.08,454.43,462.16
34.6868,426,465.35,450.52,3.46,11.37,453.98,461.89
34.7369,420,465.23,449.97,3.58,11.68,453.55,461.65
34.787,476,465.17,449.42,3.73,12.02,453.15,461.44
34.8372,497,465.16,448.87,3.89,12.39,452.76,461.26
34.8873,465,465.21,448.32,4.08,12.81,452.4,461.13
34.9375,437,465.33,447.78,4.3,13.26,452.08,461.04
34.9876,413,465.54,447.23,4.55,13.76,451.78,460.99
35.0377,458,465.85,446.69,4.84,14.31,451.53,461
35.0879,465,466.26,446.15,5.18,14.92,451.33,461.07
35.138,455,466.81,445.62,5.59,15.6,451.21,461.22
35.1881,480,467.5,445.08,6.06,16.36,451.14,461.44
35.2383,463,468.39,444.55,6.63,17.21,451.18,461.76
35.2884,446,469.54,444.02,7.33,18.18,451.35,462.2
35.3386,441,471.02,443.49,8.21,19.33,451.7,462.82
35.3887,485,473.01,442.96,9.32,20.73,452.28,463.69
35.4388,461,475.83,442.44,10.78,22.61,453.22,465.05
35.489,491,480.27,441.91,12.77,25.59,454.68,467.5
35.5391,471,486.56,441.39,15.25,29.92,456.64,471.31
35.5892,509,490.45,440.87,18.05,31.53,458.92,472.4
35.6394,531,494.09,440.36,21.77,31.95,462.13,472.31
35.6895,502,500.86,439.84,27.27,33.75,467.11,473.59
35.7397,553,511.49,439.33,35.57,36.59,474.9,475.92
35.7898,530,527.55,438.82,48.41,40.31,487.23,479.13
35.8399,505,552.18,438.31,68.9,44.97,507.21,483.28
35.8901,556,591.34,437.8,102.78,50.75,540.58,488.55
35.9402,688,655.75,437.3,160.46,57.99,597.76,495.29
35.9903,766,746.46,436.8,242.49,67.17,679.29,503.97
36.0405,715,806.08,436.3,290.76,79.03,727.06,515.33
