Angle,Observed,Calculated,Background,Quartz_nb,Calcite_nb,Quartz,Calcite
23.8227,574,617.92,565.61,51.88,0.43,617.49,566.04
23.8738,583,622.59,565.48,56.73,0.39,622.21,565.87
23.925,619,635.76,565.34,70.07,0.35,635.41,565.69
23.9761,687,674.01,565.19,108.5,0.32,673.69,565.51
24.0273,745,746.03,565.04,180.69,0.29,745.73,565.33
24.0785,690,740.11,564.89,174.94,0.27,739.83,565.16
24.1296,695,689.75,564.73,124.76,0.26,689.49,564.99
24.1808,555,664.13,564.57,99.32,0.24,663.89,564.81
24.2319,604,652.79,564.4,88.16,0.23,652.56,564.63
24.2831,571,647.62,564.23,83.17,0.22,647.4,564.45
24.3343,558,645.48,564.05,81.22,0.21,645.27,564.26
24.3854,575,645.04,563.87,80.97,0.2,644.84,564.07
24.4366,546,645.7,563.69,81.82,0.19,645.51,563.88
24.4877,583,647.13,563.5,83.44,0.19,646.94,563.69
24.5389,538,649.17,563.3,85.68,0.18,648.98,563.48
24.5901,570,651.71,563.1,88.43,0.18,651.53,563.28
24.6412,577,654.74,562.9,91.66,0.17,654.56,563.07
24.6924,576,658.23,562.69,95.36,0.17,658.05,562.86
24.7435,588,662.17,562.48,99.52,0.17,662,562.65
24.7947,570,666.59,562.26,104.16,0.17,666.42,562.43
24.8459,592,671.51,562.03,109.31,0.17,671.34,562.2
24.897,589,676.96,561.81,114.99,0.16,676.8,561.97
24.9482,585,683,561.57,121.27,0.16,682.84,561.73
24.9994,629,689.7,561.33,128.21,0.16,689.54,561.49
25.0505,631,697.11,561.09,135.85,0.16,696.94,561.25
25.1017,602,705.34,560.84,144.33,0.16,705.17,561
25.1528,632,714.46,560.59,153.71,0.16,714.3,560.75
25.204,557,724.65,560.33,164.15,0.16,724.48,560.49
25.2552,625,736.02,560.07,175.79,0.17,735.86,560.24
25.3063,604,748.75,559.8,188.78,0.17,748.58,559.97
25.3575,639,763.08,559.52,203.38,0.17,762.9,559.69
25.4086,642,779.09,559.25,219.68,0.17,778.93,559.42
25.4598,635,797.42,558.96,238.28,0.17,797.24,559.13
25.511,736,818.3,558.67,259.46,0.17,818.13,558.84
25.5621,737,842.18,558.38,283.63,0.18,842.01,558.56
25.6133,799,869.76,558.08,311.5,0.18,869.58,558.26
25.6644,957,901.68,557.78,343.72,0.18,901.5,557.96
25.7156,1215,939.07,557.47,381.42,0.18,938.89,557.65
25.7668,1245,983.13,557.16,425.79,0.19,982.95,557.35
25.8179,1309,1035.42,556.84,478.39,0.19,1035.23,557.03
25.8691,1259,1098.37,556.51,541.66,0.2,1098.17,556.71
25.9203,1311,1174.91,556.18,618.53,0.2,1174.71,556.38
25.9714,1363,1269.03,555.85,712.98,0.2,1268.83,556.05
26.0226,1402,1387.02,555.51,831.3,0.21,1386.81,555.72
26.0737,1362,1537.01,555.17,981.63,0.21,1536.8,555.38
26.1249,1486,1732.52,554.82,1177.48,0.22,1732.3,555.04
26.1761,1695,1993.42,554.47,1438.73,0.22,1993.2,554.69
26.2272,1872,2351.54,554.11,1797.2,0.23,2351.31,554.34
26.2784,2215,2858.73,553.74,2304.74,0.24,2858.48,553.98
26.3295,2854,3621.16,553.37,3067.53,0.26,3620.9,553.63
26.3807,3889,4833.62,553,4280.33,0.3,4833.33,553.3
26.4319,5718,6903.1,552.62,6350.08,0.4,6902.7,553.02
26.483,9563,10709.26,552.24,10156.44,0.57,10708.68,552.81
26.5342,18035,18260.82,551.85,17708.28,0.69,18260.13,552.54
26.5853,34487,33907,551.46,33354.95,0.6,33906.41,552.06
26.6365,54842,54539.67,551.06,53988.12,0.5,54539.18,551.56
26.6877,54561,52540.29,550.66,51989.21,0.43,52539.87,551.09
26.7388,36102,35851.64,550.25,35300.99,0.4,35851.24,550.65
26.79,17894,19217.17,549.84,18666.95,0.39,19216.79,550.23
26.8412,8876,10796.43,549.42,10246.64,0.38,10796.06,549.8
26.8923,5315,6856.82,549,6307.44,0.38,6856.44,549.38
26.9435,3495,4790.39,548.57,4241.44,0.38,4790.01,548.95
26.9946,2502,3591.42,548.14,3042.9,0.39,3591.04,548.53
27.0458,1996,2834.58,547.7,2286.48,0.4,2834.18,548.1
27.097,1753,2328.04,547.26,1780.37,0.41,2327.63,547.67
27.1481,1516,1974.83,546.82,1427.59,0.42,1974.41,547.24
27.1993,1336,1715.36,546.37,1168.56,0.44,1714.93,546.81
27.2504,1314,1520.88,545.91,974.51,0.45,1520.42,546.36
27.3016,1177,1370.79,545.45,824.87,0.47,1370.32,545.92
27.3528,1113,1252.75,544.99,707.27,0.49,1252.26,545.48
27.4039,1055,1158.39,544.52,613.36,0.51,1157.88,545.03
27.4551,980,1081.47,544.05,536.88,0.54,1080.93,544.59
27.5062,929,1018.16,543.57,474.02,0.56,1017.59,544.13
27.5574,952,965.21,543.09,421.53,0.59,964.62,543.68
27.6086,985,920.56,542.61,377.33,0.62,919.94,543.23
27.6597,932,882.6,542.12,339.83,0.66,881.95,542.78
27.7109,914,849.94,541.62,307.62,0.7,849.24,542.32
27.7621,870,821.66,541.12,279.8,0.74,820.92,541.86
27.8132,864,797.07,540.62,255.67,0.78,796.29,541.4
27.8644,849,775.45,540.11,234.51,0.83,774.62,540.94
27.9155,823,756.41,539.6,215.92,0.89,755.52,540.49
27.9667,867,739.48,539.09,199.45,0.95,738.54,540.04
28.0179,820,724.39,538.57,184.81,1.01,723.38,539.58
28.069,812,710.97,538.05,171.83,1.09,709.88,539.14
28.1202,776,698.8,537.52,160.11,1.18,697.63,538.7
28.1713,738,687.84,536.99,149.58,1.27,686.57,538.26
28.2225,849,677.89,536.45,140.05,1.39,676.5,537.84
28.2737,738,668.84,535.92,131.41,1.51,667.33,537.43
28.3248,754,660.6,535.37,123.58,1.64,658.95,537.01
28.376,725,653.06,534.83,116.43,1.8,651.26,536.63
28.4271,746,646.17,534.28,109.9,1.99,644.18,536.27
28.4783,738,639.84,533.72,103.91,2.21,637.63,535.93
28.5295,733,634.04,533.17,98.41,2.46,631.58,535.63
28.5806,758,628.72,532.6,93.35,2.77,625.95,535.37
28.6318,765,623.85,532.04,88.68,3.13,620.72,535.17
28.6829,701,619.41,531.47,84.37,3.57,615.84,535.04
28.7341,741,615.38,530.9,80.36,4.11,611.26,535.01
28.7853,761,611.77,530.32,76.65,4.79,606.97,535.11
28.8364,755,608.61,529.75,73.21,5.65,602.96,535.4
28.8876,729,605.93,529.16,69.99,6.77,599.15,535.93
28.9388,705,603.84,528.58,67,8.26,595.58,536.84
28.9899,788,602.48,527.99,64.23,10.27,592.22,538.26
29.0411,755,602.13,527.4,61.61,13.13,589.01,540.53
29.0922,786,603.3,526.8,59.17,17.33,585.97,544.13
29.1434,735,606.9,526.2,56.88,23.82,583.08,550.02
29.1946,726,614.67,525.6,54.72,34.34,580.32,559.94
29.2457,672,629.83,525,52.71,52.12,577.71,577.12
29.2969,654,658.27,524.39,50.81,83.07,575.2,607.46
29.348,659,705.16,523.78,49.03,132.35,572.81,656.13
