Angle,Observed,Calculated,Background,Quartz_nb,Calcite_bn,Quartz,Calcite
13.8799,690,738,734.81,3.16,0.03,737.97,734.84
13.93,809,735.57,732.35,3.19,0.03,735.54,732.38
13.9801,747,733.18,729.93,3.23,0.03,733.16,729.96
14.0303,748,730.85,727.56,3.26,0.03,730.82,727.59
14.0804,730,728.56,725.24,3.29,0.03,728.53,725.27
14.1305,728,726.32,722.97,3.32,0.03,726.29,723
14.1807,742,724.12,720.74,3.35,0.03,724.09,720.77
14.2308,725,721.97,718.56,3.39,0.03,721.95,718.59
14.281,714,719.87,716.43,3.42,0.03,719.85,716.46
14.3311,762,717.82,714.34,3.45,0.03,717.79,714.37
14.3812,738,715.81,712.3,3.49,0.03,715.79,712.33
14.4314,712,713.85,710.3,3.53,0.03,713.83,710.33
14.4815,703,711.94,708.35,3.56,0.03,711.91,708.38
14.5316,680,710.07,706.44,3.6,0.03,710.04,706.47
14.5818,736,708.24,704.58,3.64,0.03,708.22,704.61
14.6319,725,706.46,702.76,3.68,0.03,706.44,702.79
14.6821,705,704.73,700.98,3.72,0.03,704.7,701.01
14.7322,718,703.04,699.25,3.76,0.03,703.01,699.28
14.7823,674,701.39,697.56,3.8,0.03,701.36,697.59
14.8325,734,699.78,695.92,3.84,0.03,699.76,695.95
14.8826,722,698.22,694.31,3.88,0.03,698.19,694.34
14.9327,671,696.7,692.75,3.92,0.03,696.67,692.78
14.9829,708,695.23,691.23,3.97,0.03,695.2,691.26
15.033,625,693.79,689.75,4.01,0.03,693.76,689.78
15.0832,702,692.4,688.31,4.06,0.03,692.37,688.34
15.1333,643,691.05,686.92,4.1,0.03,691.02,686.95
15.1834,693,689.74,685.56,4.15,0.03,689.71,685.59
15.2336,709,688.47,684.24,4.2,0.03,688.44,684.27
15.2837,666,687.24,682.96,4.25,0.03,687.21,682.99
15.3338,639,686.04,681.71,4.3,0.03,686.01,681.74
15.384,711,684.89,680.51,4.35,0.03,684.86,680.54
15.4341,719,683.78,679.34,4.4,0.03,683.74,679.37
15.4842,691,682.7,678.21,4.46,0.03,682.67,678.24
15.5344,674,681.66,677.12,4.51,0.03,681.63,677.15
