Angle,Observed,Calculated,Background,Quartz_nb,Dolomite_nb,Quartz (SiO2),Dolomite (CaMg(CO3)2)
16.4043,613,628.45,622.94,5.47,0.04,628.41,622.98
16.4555,626,627.46,621.77,5.55,0.14,627.32,621.91
16.5066,592,626.34,620.63,5.64,0.07,626.27,620.7
16.5578,598,625.27,619.53,5.73,0.01,625.26,619.54
16.6089,577,624.29,618.46,5.82,0,624.28,618.46
16.6601,603,623.35,617.43,5.92,0,623.35,617.43
16.7113,607,622.45,616.43,6.02,0,622.45,616.43
16.7624,633,621.58,615.46,6.12,0,621.58,615.46
16.8136,595,620.75,614.53,6.22,0,620.75,614.53
16.8647,605,619.95,613.62,6.33,0,619.95,613.62
16.9159,618,619.19,612.75,6.44,0,619.19,612.75
16.9671,613,618.47,611.91,6.55,0,618.46,611.91
17.0182,600,617.77,611.1,6.67,0,617.77,611.1
17.0694,596,617.11,610.32,6.8,0,617.12,610.32
17.1206,593,616.49,609.57,6.92,0,616.49,609.57
17.1717,607,615.9,608.84,7.05,0,615.89,608.84
17.2229,645,615.34,608.15,7.19,0,615.34,608.15
17.274,604,614.82,607.49,7.33,0,614.82,607.49
17.3252,682,614.32,606.85,7.48,0,614.33,606.85
17.3764,613,613.86,606.24,7.63,0,613.87,606.24
17.4275,588,613.44,605.65,7.78,0,613.43,605.65
17.4787,580,613.04,605.09,7.95,0,613.04,605.09
17.5298,625,612.68,604.56,8.12,0,612.68,604.56
17.581,631,612.35,604.05,8.29,0,612.34,604.05
17.6322,619,612.05,603.57,8.48,0,612.05,603.57
17.6833,640,611.78,603.11,8.67,0,611.78,603.11
17.7345,587,611.55,602.68,8.87,0,611.55,602.68
17.7856,588,611.35,602.27,9.08,0,611.35,602.27
17.8368,614,611.18,601.88,9.3,0,611.18,601.88
17.888,560,611.04,601.51,9.53,0,611.04,601.51
17.9391,564,610.94,601.17,9.77,0,610.94,601.17
17.9903,591,610.86,600.85,10.02,0,610.87,600.85
18.0415,611,610.83,600.54,10.28,0,610.82,600.54
18.0926,581,610.82,600.26,10.56,0,610.82,600.26
18.1438,579,610.85,600,10.85,0,610.85,600
18.1949,609,610.92,599.76,11.15,0,610.91,599.76
18.2461,614,611.02,599.54,11.47,0,611.01,599.54
18.2973,607,611.15,599.34,11.81,0,611.15,599.34
18.3484,578,611.33,599.16,12.17,0,611.33,599.16
18.3996,597,611.55,598.99,12.56,0,611.55,598.99
18.4507,641,611.8,598.84,12.96,0,611.8,598.84
18.5019,608,612.1,598.71,13.39,0,612.1,598.71
18.5531,560,612.44,598.59,13.84,0,612.43,598.59
18.6042,594,612.83,598.5,14.33,0,612.83,598.5
18.6554,639,613.43,598.41,15.02,0,613.43,598.41
18.7065,627,615.23,598.35,16.89,0,615.24,598.35
18.7577,612,620.95,598.29,22.66,0,620.95,598.29
18.8089,672,634.97,598.26,36.71,0,634.97,598.26
18.86,707,638.82,598.23,40.59,0,638.82,598.23
18.9112,695,628.09,598.22,29.86,0,628.08,598.22
18.9624,599,623.04,598.23,24.82,0,623.05,598.23
19.0135,578,621.28,598.24,23.03,0,621.27,598.24
19.0647,599,620.82,598.27,22.54,0,620.81,598.27
19.1158,632,620.99,598.31,22.67,0,620.98,598.31
19.167,669,621.52,598.36,23.16,0,621.52,598.36
19.2182,657,622.32,598.43,23.89,0,622.32,598.43
19.2693,666,623.33,598.5,24.82,0,623.32,598.5
19.3205,654,624.52,598.59,25.93,0,624.52,598.59
19.3716,730,625.9,598.69,27.21,0,625.9,598.69
19.4228,687,627.44,598.79,28.65,0,627.44,598.79
19.474,703,629.2,598.91,30.29,0,629.2,598.91
19.5251,682,631.18,599.03,32.15,0,631.18,599.03
19.5763,721,633.41,599.17,34.24,0,633.41,599.17
19.6274,710,635.92,599.31,36.6,0,635.91,599.31
19.6786,764,638.75,599.46,39.28,0,638.74,599.46
19.7298,737,641.95,599.62,42.33,0,641.95,599.62
19.7809,725,645.61,599.79,45.82,0,645.61,599.79
19.8321,742,649.79,599.96,49.83,0,649.79,599.96
19.8832,754,654.62,600.14,54.48,0,654.62,600.14
19.9344,767,660.22,600.32,59.9,0,660.22,600.32
19.9856,810,666.8,600.52,66.28,0,666.8,600.52
20.0367,822,674.58,600.72,73.86,0.01,674.58,600.73
20.0879,815,683.78,600.92,82.86,0,683.78,600.92
20.1391,851,695.03,601.13,93.9,0,695.03,601.13
20.1902,891,708.85,601.34,107.51,0,708.85,601.34
20.2414,897,726.12,601.56,124.56,0,726.12,601.56
20.2925,994,748.1,601.78,146.32,0,748.1,601.78
20.3437,950,776.72,602.01,174.71,0,776.72,602.01
20.3949,949,814.99,602.24,212.75,0,814.99,602.24
20.446,955,867.84,602.47,265.36,0,867.83,602.47
20.4972,1053,943.82,602.71,341.11,0,943.82,602.71
20.5483,1197,1058.79,602.95,455.84,0,1058.79,602.95
20.5995,1394,1244.65,603.19,641.45,0,1244.64,603.19
20.6507,1812,1572.31,603.44,968.87,0,1572.31,603.44
20.7018,2519,2214.82,603.68,1611.13,0,2214.81,603.68
20.753,4072,3611.03,603.93,3007.09,0,3611.02,603.93
20.8041,7112,6671.51,604.18,6067.33,0,6671.51,604.18
20.8553,10840,10724.38,604.44,10119.94,0,10724.38,604.44
20.9065,9453,9500.52,604.69,8895.83,0,9500.52,604.69
20.9576,5233,5457.42,604.94,4852.48,0,5457.42,604.94
21.0088,2724,2932.26,605.2,2327.06,0,2932.26,605.2
21.06,1771,1889.62,605.45,1284.17,0,1889.62,605.45
21.1111,1325,1411.44,605.7,805.73,0,1411.43,605.7
21.1623,1172,1158.35,605.96,552.39,0,1158.35,605.96
21.2134,998,1009.28,606.21,403.06,0,1009.27,606.21
21.2646,961,914.4,606.47,307.93,0,914.4,606.47
21.3158,867,850.41,606.72,243.69,0,850.41,606.72
21.3669,873,805.31,606.97,198.33,0,805.3,606.97
21.4181,912,772.37,607.22,165.14,0,772.36,607.22
21.4692,880,747.63,607.47,140.15,0,747.62,607.47
21.5204,812,728.74,607.72,121.02,0,728.74,607.72
21.5716,739,713.81,607.96,105.85,0.01,713.81,607.97
21.6227,720,701.93,608.21,93.72,0.01,701.93,608.22
21.6739,732,692.34,608.45,83.89,0.01,692.34,608.46
21.725,683,684.51,608.69,75.82,0.01,684.51,608.7
21.7762,727,678.07,608.92,69.13,0.01,678.05,608.93
21.8274,685,672.72,609.16,63.54,0.03,672.7,609.19
21.8785,709,668.23,609.39,58.82,0.02,668.21,609.41
21.9297,732,664.46,609.62,54.82,0.02,664.44,609.64
21.9809,677,661.29,609.84,51.41,0.03,661.25,609.87
22.032,763,658.62,610.06,48.49,0.06,658.55,610.12
22.0832,889,656.4,610.28,45.98,0.14,656.26,610.42
22.1343,788,654.72,610.49,43.82,0.4,654.31,610.89
22.1855,664,654.51,610.7,41.96,1.84,652.66,612.54
22.2367,698,652.63,610.91,40.36,1.35,651.27,612.26
22.2878,713,650.58,611.11,38.97,0.5,650.08,611.61
22.339,633,649.2,611.31,37.78,0.11,649.09,611.42
22.3901,668,648.31,611.5,36.75,0.05,648.25,611.55
22.4413,650,647.61,611.69,35.88,0.03,647.57,611.72
22.4925,680,647.04,611.88,35.14,0.02,647.02,611.9
