Angle,Observed,Calculated,Background,Calcite_nb,Dolomite_nb,Quartz_nb,Calcite,Dolomite,Quartz
63.4154,308,318.87,285.95,3.15,1.88,27.89,289.1,287.83,313.84
63.4655,357,320.99,285.78,2.32,1.72,31.17,288.1,287.5,316.95
63.5156,333,324.23,285.62,1.7,1.54,35.38,287.32,287.16,321
63.5658,317,328.8,285.45,1.3,1.19,40.87,286.75,286.64,326.32
63.6159,342,335.31,285.28,1.06,0.85,48.12,286.34,286.13,333.4
63.666,354,344.43,285.12,0.9,0.63,57.78,286.02,285.75,342.9
63.7162,359,356.9,284.95,0.81,0.49,70.65,285.76,285.44,355.6
63.7663,388,374.01,284.79,0.74,0.42,88.06,285.53,285.21,372.85
63.8165,444,398.74,284.62,0.71,0.38,113.03,285.33,285,397.65
63.8666,478,437.56,284.46,0.69,0.38,152.03,285.15,284.84,436.49
63.9167,488,501.38,284.3,0.69,0.4,215.99,284.99,284.7,500.29
63.9669,604,600.44,284.14,0.7,0.45,315.15,284.84,284.59,599.29
64.017,739,710.56,283.98,0.72,0.57,425.29,284.7,284.55,709.27
64.0671,728,743.32,283.82,0.76,0.76,457.98,284.58,284.58,741.8
64.1173,725,691.29,283.66,0.81,1,405.83,284.47,284.66,689.49
64.1674,651,646.78,283.5,0.88,1.08,361.31,284.38,284.58,644.81
64.2175,643,617.6,283.35,0.97,0.98,332.3,284.32,284.33,615.65
64.2677,525,557.27,283.19,1.09,0.9,272.09,284.28,284.09,555.28
64.3178,474,481.56,283.04,1.24,0.86,196.43,284.28,283.9,479.47
64.368,423,423.57,282.88,1.45,0.77,138.47,284.33,283.65,421.35
64.4181,368,386.15,282.73,1.73,0.64,101.05,284.46,283.37,383.78
64.4682,348,362.49,282.58,2.1,0.57,77.25,284.68,283.15,359.83
64.5184,369,347.22,282.43,2.59,0.58,61.63,285.02,283.01,344.06
64.5685,324,337.19,282.28,3.26,0.67,50.98,285.54,282.95,333.26
64.6186,300,330.71,282.13,4.25,0.87,43.46,286.38,283,325.59
64.6688,349,326.96,281.98,5.84,1.15,37.99,287.82,283.13,319.97
64.7189,309,325.53,281.83,8.45,1.3,33.95,290.28,283.13,315.78
64.7691,339,326.07,281.69,12.31,1.18,30.89,294,282.87,312.58
64.8192,310,326.95,281.54,15.8,1.03,28.57,297.34,282.57,310.11
64.8693,317,324.95,281.4,15.78,0.95,26.82,297.18,282.35,308.22
64.9195,314,321.27,281.26,13.69,0.82,25.5,294.95,282.08,306.76
64.9696,321,318.78,281.11,12.49,0.62,24.55,293.6,281.73,305.66
65.0197,283,316.77,280.97,11.44,0.45,23.91,292.41,281.42,304.88
65.0699,342,313.85,280.83,9.13,0.33,23.55,289.96,281.16,304.38
65.12,311,311.06,280.7,6.64,0.26,23.47,287.34,280.96,304.17
65.1702,316,309.35,280.56,4.91,0.22,23.67,285.47,280.78,304.23
65.2203,314,308.69,280.42,3.89,0.19,24.19,284.31,280.61,304.61
65.2704,343,308.92,280.29,3.34,0.17,25.13,283.63,280.46,305.42
65.3206,316,310.03,280.15,3.11,0.15,26.62,283.26,280.3,306.77
65.3707,340,312.22,280.02,3.13,0.15,28.92,283.15,280.17,308.94
65.4208,357,315.77,279.89,3.4,0.15,32.34,283.29,280.04,312.23
65.471,320,320.25,279.76,4,0.15,36.34,283.76,279.91,316.1
65.5211,360,325.59,279.63,5.16,0.16,40.64,284.79,279.79,320.27
65.5713,340,334.33,279.5,7.15,0.18,47.51,286.65,279.68,327.01
65.6214,383,349.76,279.37,9.73,0.2,60.46,289.1,279.57,339.83
65.6715,397,376.94,279.25,11.09,0.23,86.37,290.34,279.48,365.62
65.7217,415,426.13,279.12,10.08,0.29,136.63,289.2,279.41,415.75
65.7718,432,481.42,279,8.76,0.39,193.27,287.76,279.39,472.27
65.8219,418,464.36,278.88,8.12,0.54,176.82,287,279.42,455.7
65.8721,414,422.88,278.75,7.08,0.74,136.3,285.83,279.49,415.05
65.9222,394,415.68,278.64,5.32,0.87,130.86,283.96,279.51,409.5
65.9723,374,414.81,278.52,3.75,0.8,131.74,282.27,279.32,410.26
66.0225,398,382.61,278.4,2.69,0.7,100.82,281.09,279.1,379.22
66.0726,373,351.52,278.28,2.01,0.65,70.57,280.29,278.93,348.85
66.1228,368,334.43,278.17,1.57,0.58,54.11,279.74,278.75,332.28
66.1729,325,325.53,278.06,1.26,0.45,45.75,279.32,278.51,323.81
66.223,341,320.77,277.95,1.05,0.33,41.45,279,278.28,319.4
66.2732,342,318.27,277.83,0.89,0.25,39.3,278.72,278.08,317.13
66.3233,385,317.12,277.73,0.77,0.2,38.43,278.5,277.93,316.16
66.3734,360,316.87,277.62,0.67,0.17,38.41,278.29,277.79,316.03
66.4236,302,317.26,277.51,0.59,0.15,39,278.1,277.66,316.51
66.4737,340,318.18,277.41,0.53,0.14,40.09,277.94,277.55,317.5
66.5239,326,319.54,277.31,0.48,0.14,41.62,277.79,277.45,318.93
66.574,337,321.35,277.2,0.44,0.14,43.57,277.64,277.34,320.77
66.6241,347,323.58,277.1,0.4,0.14,45.94,277.5,277.24,323.04
66.6743,335,326.28,277,0.37,0.14,48.76,277.37,277.14,325.76
66.7244,316,329.49,276.91,0.35,0.15,52.08,277.26,277.06,328.99
66.7745,331,333.28,276.81,0.32,0.17,55.97,277.13,276.98,332.78
66.8247,368,337.73,276.72,0.3,0.19,60.53,277.02,276.91,337.25
66.8748,343,342.99,276.62,0.28,0.22,65.87,276.9,276.84,342.49
66.925,335,349.22,276.53,0.27,0.26,72.16,276.8,276.79,348.69
66.9751,399,356.64,276.44,0.25,0.31,79.63,276.69,276.75,356.07
67.0252,375,365.55,276.35,0.24,0.37,88.58,276.59,276.72,364.93
67.0754,391,376.37,276.27,0.23,0.46,99.41,276.5,276.73,375.68
67.1255,406,389.66,276.18,0.22,0.59,112.66,276.4,276.77,388.84
67.1756,395,406.23,276.1,0.21,0.79,129.13,276.31,276.89,405.23
67.2258,417,427.21,276.02,0.2,1.12,149.86,276.22,277.14,425.88
67.2759,462,454.11,275.94,0.2,1.65,176.33,276.14,277.59,452.27
67.3261,516,488.75,275.86,0.19,2.29,210.41,276.05,278.15,486.27
67.3762,553,532.98,275.78,0.19,2.59,254.43,275.97,278.37,530.21
67.4263,610,589.81,275.71,0.18,2.33,311.59,275.89,278.04,587.3
67.4765,681,666.27,275.63,0.18,2.03,388.43,275.81,277.66,664.06
67.5266,778,777.1,275.56,0.17,1.9,499.47,275.73,277.46,775.03
67.5767,985,949.43,275.49,0.17,1.67,672.1,275.66,277.16,947.59
67.6269,1185,1224.21,275.42,0.17,1.26,947.35,275.59,276.68,1222.77
67.677,1449,1625.31,275.36,0.16,0.89,1348.91,275.52,276.25,1624.27
67.7272,1704,2017.86,275.29,0.16,0.63,1741.78,275.45,275.92,2017.07
